col;response
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;4
Catorhintha schaffneri_APM;4
Catorhintha schaffneri_APM;4
Catorhintha schaffneri_APM;3
Catorhintha schaffneri_APM;3
Catorhintha schaffneri_APM;3
Catorhintha schaffneri_APM;3
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;4
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;6
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_APM;5
Catorhintha schaffneri_NPM;6
Catorhintha schaffneri_NPM;5
Catorhintha schaffneri_NPM;5
Catorhintha schaffneri_NPM;5
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;8
Catorhintha schaffneri_NPM;8
Catorhintha schaffneri_NPM;6
Catorhintha schaffneri_NPM;6
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;7
Catorhintha schaffneri_NPM;6
Catorhintha schaffneri_NPM;5
Catorhintha schaffneri_NPM;5
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;4
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
Catorhintha schaffneri_NPM;3
